content,Contains User Action-App Problem,Contains keyword,,,,,,,,,,,,,,,,,,,Contains User Action-App Problem,Contains keyword
"I had the app for long time but lately have started has the longest and most annoying advs that you can't even close your phone without watching them all. Plenty of other apps so no reason to keep it, unistall immediately.",1,0,,,,,,,,,,,,,,,,,,,1,0
Too complicated to use,0,0,,,,,,,,,,,,,,,,,,,0,0
"Purchased by premium, getting error can not sync. Emailed support, no response. Don't waste your time or money",1,0,,,,,,,,,,,,,,,,,,,1,0
It's takes a lot of space,0,0,,,,,,,,,,,,,,,,,,,0,0
"After installing the app, i check to see if my reacurring event would show up. And it did that one time. So minutes after i insalled i had to let it go.",1,1,,,,,,,,,,,,,,,,,,,,
This app is really pretty annoying. it said I didn't allow any permissions but it gave absolutely no further instruction. So for a $1.99 I figured what do I have to lose. Well I have a lot of time to lose because I spent the money I now have the premium app I set the timer and I got the same message. It says you have not set permissions but it gives no instruction as to how to set permissions and no button that I click works. If it wasn't too much aggravation I'd be asking for a refund.,1,0,,,,,,,,,,,,,,,,,,,,
Most useless app ever used! Very difficult to save anything or find anything! Put some tasks didn't get any reminders so didn't do it! Erasing this nonsense Can't even save this review,1,0,,,,,,,,,,,,,,,,,,,,
"I missed my work today because of your stupid ""weak alarm"" method. This means I've lost some money. Notification reliability should be of paramount importance. If something doesn't work 100%, remove it. Very disappointed. VERY! Edit: I didn't get any warning, nothing. If the other option is the recommended one (which I hate that it adds an alarm icon in the status bar. other apps work without doing this), it doesn't mean the other one IS NOT WORKING. Bad. I'm forced to use the stock alarm for the first event in the morning to be sure, which is very inconvenient",0,0,,,,,,,,,,,,,,,,,,,,
No longer reminds me to do stuff. Looking for another app now.,0,0,,,,,,,,,,,,,,,,,,,,
"Poor service. I purchased the premium version, but I can't login again. When I choose the login function, the app always asks for redemption and has no function of filling in the account login.",1,1,,,,,,,,,,,,,,,,,,,,
Dont use this app for real!!!,0,0,,,,,,,,,,,,,,,,,,,,
"It's completely broken, things don't show up, error codes from the very beginning, it's just broken",0,0,,,,,,,,,,,,,,,,,,,,
All functionality comes with premium account only... Shud have more flexibility for those who are looking for free version,0,0,,,,,,,,,,,,,,,,,,,,
"I am colour blind and dyslexic. Not able to read anything. I can't zoom in and I need to pay in order to see the colours better. [update] As I said, I would have to pay the app in order to have the right fonts and colour so I can actually read and make use with it. I've tried WeNote, and it's the app I need, without having to pay premium.",0,0,,,,,,,,,,,,,,,,,,,,
Unfortunately i can not sign up or sign in. By google account or email. I tried a lot. From iran,1,0,,,,,,,,,,,,,,,,,,,,
Login taking so much time,1,0,,,,,,,,,,,,,,,,,,,,
"I find it utterly useless. Tried to figure out how to use it and it seemed like a maze, so incongruent and all over the place. I eventually deleted and discarded it.",0,0,,,,,,,,,,,,,,,,,,,,
1 star for obligatory signup using Google /fb/twitter.,0,0,,,,,,,,,,,,,,,,,,,,
Used this app one day and it wouldn't accept my pin to get in. I e-mailed support and never heard a word from them. The app itself seemed decent but support is horrible.,0,0,,,,,,,,,,,,,,,,,,,,
Doesn't look like the pictures at all. Exact same layout as your phone's calendar. Now new settings etc. Waste of time app.,0,0,,,,,,,,,,,,,,,,,,,,
"Find a new app. Overall if you havent noticed, the dev's left this app. As of recently, the servers are dead. This means you cant make an account, forums are gone, motivation pictures gone, etc. Find a new app,",0,0,,,,,,,,,,,,,,,,,,,,
"Used to be a good app, now it's all buggy...",0,0,,,,,,,,,,,,,,,,,,,,
"I got the premium version The main drawbacks of this app are: 1- I cannot customize the categories 2- If I do a task earlier, it still alarming on scheduled alarming time 3- removing done tasks is not available Just moved to the bottom",,,,,,,,,,,,,,,,,,,,,,
Way to confusing to use the tutorial didnt help at all,,,,,,,,,,,,,,,,,,,,,,
"no user friendly, i download this apk for only n only set my full day 
sedual and follow up it everyday but i do not do easy way",,,,,,,,,,,,,,,,,,,,,,
Video ads,0,0,,,,,,,,,,,,,,,,,,,,
38/year y'all out your damn minds. Can't even view a full month calendar with the free version. Only day and week. Silly devs.,,,,,,,,,,,,,,,,,,,,,,
I am not able to sign in in this app.....,0,0,,,,,,,,,,,,,,,,,,,,
Most of the things are paid,0,0,,,,,,,,,,,,,,,,,,,,
"while using the habbit feature, you can add multiple reminders for drinking water, but if you check done in any one of those reminders then it wont remind for the rest of the day. ruins the logic. Uninstalled Installed a year later and still the issue exists, the habit feature was a unique point which brought me to the app but I guess I'll have to use another one.",1,1,,,,,,,,,,,,,,,,,,,,
La pubblicità è diventata insopportabile,0,0,,,,,,,,,,,,,,,,,,,,
I don't really liked it much . Waste of intenet.,0,0,,,,,,,,,,,,,,,,,,,,
I'd love to use this app if there was any other payment method than with a credit card (which I don't have and don't want).,0,0,,,,,,,,,,,,,,,,,,,,
Very worst as compared to Google calendar. I think Google calendar and your this apps to be put it in the litter bins.,0,0,,,,,,,,,,,,,,,,,,,,
It doesn't work anymore:(,0,0,,,,,,,,,,,,,,,,,,,,
not able to login..say not login with personal account..I have only one microsoft account,0,0,,,,,,,,,,,,,,,,,,,,
I got this because you cant set voice reminders in cortana anymore. But you cant set them in this app either. Confusing layout and doesn't have the functionality of a personal. assistant. Trash.,,,,,,,,,,,,,,,,,,,,,,
It's broken. I try to create my account and I can't even use the name I want or customize my character. It's just broken. Nothing displays.,1,1,,,,,,,,,,,,,,,,,,,,
It says you are downloading the pro version which is a complete lie.,0,0,,,,,,,,,,,,,,,,,,,,
"Very useful app! The only thing I wish you put on the app is a pause button or something to point different moments in the work block. Excelent app I bought the pro version 'cause is very accesible. I wish you put more things to make this app the most incredible productivity app! 🤍 EDIT: I need help with the premium purchase!!! I send an email and one person responded my email but the problem was not solved. I want a refund please, I like the app but this problem is a Headache, sorry. :/",,,,,,,,,,,,,,,,,,,,,,
Paid for premium. Sync does not work. Publisher does not reply. Started reading reviews and found numerous people with the same problem. Going to try to get my money back. Nice app if you don't care about backups or syncing between devices or customer support. Switched to Goalify and finding them extremely responsive,0,0,,,,,,,,,,,,,,,,,,,,
"This is an overengineered list keeping app that I hate. I kept it for years in spite of that because I was in the ecosystem, but today it locked me out of my grocery list so good riddance. No i don't need it to take thirty seconds to boot up my grocery list so that your algorithm can tell me how to most productively plan my day by sorting my grocery list in order of the order I entered each item. I do not need an any.do minute.",0,0,,,,,,,,,,,,,,,,,,,,
Calander doesn't sync properly even if you add event adds it to different days,1,0,,,,,,,,,,,,,,,,,,,,
The fact that it forces landscape view is completely absurd.,0,0,,,,,,,,,,,,,,,,,,,,
"Best free calendar is now unacceptable with full audio, full screen video ads. The price to avoid the ad mugging is ridiculously too much. Uninstalled and looking for another.",0,0,,,,,,,,,,,,,,,,,,,,
Doesnt Nofication me,0,0,,,,,,,,,,,,,,,,,,,,
Key functionalities of the app are hidden behind a subscription of $6.50 per month with the best deal. Simply shameless.,0,0,,,,,,,,,,,,,,,,,,,,
It'hs just too complicate to use for me,0,0,,,,,,,,,,,,,,,,,,,,
"Good app, but no updates even after sending few suggestions. What is the point in buying Paid version.",1,1,,,,,,,,,,,,,,,,,,,,
Just give an option to go back to the old version. So unsatisfied and feel demotivated after the new update.,0,1,,,,,,,,,,,,,,,,,,,,
Its not even opening 😠😠😡😠😡😠😡😠😠 this don't deserve even one star. This is just a wastage of time and data .,0,0,,,,,,,,,,,,,,,,,,,,
"Phone is 6 months old. This app along with Outlook, Office and Teams really drained the battery",0,0,,,,,,,,,,,,,,,,,,,,
"Programmer does nog work properly. It is changing times and dates on his own. Instead of saving time it is costing me time (and money for the pro version). I ran into this problem a few days after my purchase so i'm not able to get a refund while the app is unreliable, so practically unusuable.",1,1,,,,,,,,,,,,,,,,,,,,
Oohh im very hardly managing it and its a disgusting app just a waste of time. Also it is not uninstalling.,0,0,,,,,,,,,,,,,,,,,,,,
"I don't use the free version, I like to pay for software that deserves it. I tapped on the app today and had an interstitial ad. Do not do this again for a business app.",1,0,,,,,,,,,,,,,,,,,,,,
helps me somehow,0,0,,,,,,,,,,,,,,,,,,,,
"Ads that completely take over your phone & have a forced timer so you can't exit out of them. - EDIT - It's untrue what the developer says regarding ads appearing once every 18 hours, it is more frequent. The ""skip"" the developer is referring to is NOT instantly available, you must wait a timer out. - It wouldn't be a problem if the ads weren't so disruptive, they literally take over your screen. I have no problem with small less annoying ads.",,,,,,,,,,,,,,,,,,,,,,
"You are Nutzzz? I am not going to pay you Yearly for this. It is simply Not 
worth it.",0,0,,,,,,,,,,,,,,,,,,,,
"They double billed me for my premium subscription and wont respond to any refund requests. I have been a premium subscriber for over a year, and changed my payment method from Paypal to Google Play subscription, but ended up being billed twice at my renewal (once through each method). I've reached out to their support email address (4 times), and haven't even gotten a response. This app is a good app, but you cannot trust them with your financial information or expect them to respond to you if you have a problem.",1,0,,,,,,,,,,,,,,,,,,,,
There is no a daily checklist where i can see what is remaining for today,0,0,,,,,,,,,,,,,,,,,,,,
"Too many ads, find another alternatve with no ads or at least not as many.",0,0,,,,,,,,,,,,,,,,,,,,
Interface is not really satisfactory,0,0,,,,,,,,,,,,,,,,,,,,
"Dear developers, thank you for deleting all my reminders after updating the app! It was not pleasant at all, believe me!",1,0,,,,,,,,,,,,,,,,,,,,
App keeps crashing,0,0,,,,,,,,,,,,,,,,,,,,
This is worst app....single star dena majboori th...nhi to wo bh n deta....mera premium ke liye 129 rupees pay ho gya aur yha pe premium bh nhi mila....ye log bina login ke payment krate h...to kya proof h ki kisne payment ki.....this is worst app don't pay,,,,,,,,,,,,,,,,,,,,,,
"I want to love this app, but every time I use it and every time I try to upgrade to premium, I get an ""Error 599"" message. Tried factory resetting my phone, even! Definitely a shame, as I was looking for an app to recommend to my students.",1,1,,,,,,,,,,,,,,,,,,,,
