Reviews,Outputs
The app crashes unexpectedly every time I try to open it or navigate to settings. Can't even get started properly!,"{'App crashes unexpectedly': ['Opening the app', 'Navigating to settings']}"
"I enabled notifications but they're not showing up, even after refreshing the app multiple times. Very frustrating!","{'Notifications not showing up': ['Enabling notifications', 'Refreshing the app']}"
"Buttons in the app are unresponsive, even after tapping on them and restarting the app. Needs fixing!","{'Buttons unresponsive': ['Tapping on buttons', 'Restarting the app']}"
"Images fail to load in the feed, despite refreshing it and ensuring a stable internet connection.","{'Images fail to load': ['Refreshing the feed', 'Checking internet connection']}"
The search function isn't working properly; it's not showing accurate results even after typing in the search query and selecting a result.,"{'Search function not working': ['Typing in search query', 'Selecting search result']}"
"Battery drains quickly, especially when using the app to watch videos. Needs optimization!","{'Battery drains quickly': ['Using the app', 'Playing videos']}"
"Sound cuts out randomly while watching videos, making it impossible to enjoy any audio content.","{'Sound cuts out randomly': ['Watching videos', 'Adjusting volume']}"
"The settings menu closes abruptly, preventing me from adjusting any preferences. Very annoying!","{'Settings menu closes abruptly': ['Accessing settings', 'Trying to change preferences']}"
"Fonts in the app appear distorted, affecting the readability of text across different screens.","{'Fonts appear distorted': ['Opening the app', 'Navigating to different screens']}"
"The app switches to random screens unexpectedly, causing confusion and disruption in usage.","{'App switches to random screens': ['Using different features', 'Closing and reopening the app']}"
"Data doesn't sync between devices, despite attempting to sync data and checking sync settings.","{'Data not syncing between devices': ['Attempting to sync data', 'Checking sync settings']}"
"The camera feature is inaccessible, even after trying to use it and granting necessary permissions.","{'Camera feature inaccessible': ['Trying to use camera', 'Granting camera permissions']}"
"The app crashes repeatedly, making it extremely frustrating to use on a daily basis.","{'App crashes repeatedly': ['Opening the app', 'Navigating to specific feature']}"
"GPS freezes intermittently, making it difficult to get accurate directions while using the navigation feature.","{'GPS freezes intermittently': ['Using GPS feature', 'Restarting the app']}"
"Videos won't play, even after clicking on them and waiting for them to load.","{""Videos won't play"": ['Clicking on video', 'Waiting for video to load']}"
"Buttons in the app don't respond at all, even after tapping on them multiple times and force closing and reopening the app.","{'No response from buttons': ['Tapping on buttons', 'Force closing and reopening app']}"
"The app freezes when playing videos, especially when navigating away from the video.","{'App freezes when playing videos': ['Playing videos', 'Navigating away from video']}"
"Notifications disappear after receiving them, causing me to miss important updates.","{'Notifications disappearing': ['Receiving notification', 'Opening the app']}"
"Search results aren't accurate, even after typing in the search query and viewing the search results.","{'Search results not accurate': ['Typing in search query', 'Viewing search results']}"
"Battery drains rapidly, even when the app is idle and not in use.","{'Battery draining while idle': ['Closing the app', 'Checking battery usage']}"
"Sound quality deteriorates while listening to audio, despite changing audio settings.","{'Sound quality deteriorates': ['Listening to audio', 'Changing audio settings']}"
