User Action Events,App Problem Events
"* Logging in to the app
* Updating the app
* Trying to log in after updating the app","* Sessions expiring unexpectedly
* App glitching or freezing
* Inability to log in despite updates

Note: These events are organized based on their relationships and similarities, but they can be further refined and grouped into more specific categories depending on the context and purpose of the analysis."
"* User searches for an object on Facebook Marketplace
* User scrolls through the search results
* App selects a random picture as the main image (only one buyers see when searching and scrolling)
* User tries to view the full photo of the object, but the app selects a zoomed-up tiny area of damage instead of the actual overall photo.","* The app violates user expectations by selecting an incorrect main image for search results
* The app does not display the full photo of the object as expected
* The app's behavior leads to confusion and frustration for users, as evident in negative reviews."
,
,
,
,
"* Using Facebook an hour and a half ago
* Trying to log in to Facebook but facing difficulties
* Being able to log in after some time
* Seeing my page but unable to access any other content
* Losing the page after a few seconds
* Being unable to send messages on Messenger
* Seeing all my messages and people's last online status
* Updating the app and reinstalling it","* Suddenly stopping users from logging in
* Displaying an error message without providing any details
* Hiding content that users are entitled to see
* Losing previously accessed pages or data
* Failing to send messages properly
* Providing inaccurate information about users' last online status."
"* tried to log in to Facebook
* app crashed","* session expired message repeatedly appears
* complete loss of access to the app"
,
"* The user attempted to access their account.
* The user encountered an issue with their account being hacked.
* The user tried contacting customer support.","* The app failed to provide adequate security measures, resulting in the hacking of the user's account.
* The app did not offer any assistance or support to the user when they encountered issues.
* The app perpetuated a cycle of inconvenience and frustration for the user by failing to address their concerns."
"click on a link or story, read for 2min
click back","auto refresh on the news feed is making it nearly unusable
article you just read never to be found again
unable to comment on or read the next article in the news feed you saw before you clicked the first article
This app problem demands immediate attention from developers as it violates user expectations and can significantly affect user attraction and retention if left unaddressed."
,
,
"* Clicking a link on Facebook
* Going back to the main page after clicking a link","* Reloading the entire app instead of going back to the previous page or content
* Failure to retain user's previous navigation path

Note: These events are organized based on the information provided in the review. The actual groups and events may vary depending on the context and details of the review."
"* Interacting with the app (getting in)
* Trying to log back in through different options","* Displaying an error message about a session expiring
* Being stuck in a screen and unable to progress
* Reinstalling the app and still experiencing issues"
"accessing Facebook app
getting message ""you need to update Facebook to continue""
following link to Playstore to check for updates
selecting ""open"" option after getting back to the app
receiving the same message again after a few seconds
uninstalling the app three times","displaying an incorrect message to the user
not updating the app properly despite user actions
repeatedly displaying the update message despite user efforts to resolve the issue."
,
":

* Entering the saved password
* Trying to log in repeatedly despite the error messages
* Receiving an authorization code after successful login attempt",":

* Session expired error message
* Unable to log in error message
* Blank white page after entering authorization code

Note: These events are organized into groups based on their similarity and relevance to the app problem being described in the review."
"* Logging into the app
* Setting a new password
* The app restarting after setting a new password
* Being unable to log into the app despite trying again","* The app repeatedly telling the user to try again
* The app's inability to recognize or accept a new password
* The app's reliance on Facebook for authentication
* The app restarting after setting a new password

Note: These events are organized into related groups based on their connection to the review and the user's experience with the app."
,
"Events:



* Logging in to the app
* Automatic disconnection of the ID
* Trying to log in again
* Facing an error message ""session expired""
* Trying to login again and facing another error message ""Unexpected error occurred, please try logging in again""","* Session expiration issue
* Inconsistent error messages
* Difficulty in logging in

Note: These events are organized into groups based on their similarity and relevance to the problem at hand."
"* Interacting with the app after last update
* Trying to stay signed in
* Receiving error messages and being kicked off","* Inability to stay signed in
* Error messages without providing a solution
* Lack of allowance for signing back in"
,
,
,
"* clicking on a post or photo
* trying to change the settings","* not receiving notifications when people like a user's posts or photos
* receiving unnecessary notifications for pointless groups
* difficulty changing the app's settings
* not getting notifications for liked posts or photos."
"* Deleting the app
* Redownloading the app
* Resetting the phone","* Failure to open the app
* Displaying a problem message without allowing access to the app"
":

* Trying to open the app
* Logging in
* Successfully logging in",":

* Getting stuck in a loop of trying to open the app
* Logging out
* Feed not loading
* Session expired message despite only just opening the app."
":

* Tapping on a notification
* Switching between accounts",":

* Posts turning into reels without user consent
* Separating page notifications from profile notifications

Note: These events are organized based on the information provided in the review. The events may not be exhaustive, and there may be other events that can be identified based on the context of the review."
":

* Logged into Facebook
* Keep asking for login credentials
* Uninstallation and reinstallation of the app
* Resetting password",":

* Frequent logout issues
* Incorrect messages upon login attempts (e.g. ""something went wrong"")

Note: These events are organized based on the user's experience and the issues they encountered with the app. The grouping is not exhaustive, and additional events may be identified based on the review text."
,
,
,
"* Opening the app
* Going on the app","* Slow notification delivery
* Notifications no longer notify the user in real-time
* Missed notifications due to delayed notification delivery"
,
,
,
,
,
"* Interacting with the app
* Trying to see who left emoticons","* Glitches
* Ghost images"
,
"* Clicking on videos
* Expectation of opening the video as a video player","* Slow run of the app
* Crashes during video playback
* Automatically redirecting to the Reels section instead of opening the video as a video player."
"* Entered password
* Attempted to log back in multiple times","* Unexpected error message
* Inability to log in despite entering correct password"
"* Watching full videos
* App completely stopping
* User having to shut off Facebook and restart it","* Undesirable behavior violating user expectations
* Rich information about issues in negative reviews

Note: These events have been grouped based on their relevance to the given review. The actual events may vary depending on the specific context and content of the review."
,
,
,
* Interacting with the app (app is fine most of the time),"* App becoming jittery and unstable (especially in Marketplace)

Note: The events are organized into related groups based on their context and purpose. Within each group, events are separated by commas to illustrate the different actions or issues involved."
":

* Interacting with the app
* Watching videos on the app
* Switching between screens or closing the app",":

* Random flashing of the app making it difficult to use
* Losing video content when switching between screens or closing the app."
,
"* Interacting with the app
* Posting content on the app
* Having the account blocked for previous posts
* Trying to contact customer support to dispute the block","* Undesirable behavior such as blocking the account without proper explanation or resolution
* Content on the app that is worse than what the user posted and yet not receiving any action from the app
* Difficulty in contacting someone at the app for assistance or dispute resolution."
,
":

* Taking a screenshot
* Disabling picture-in-picture",":

* The share pop-up appearing after taking a screenshot
* The share pop-up being annoying and preventing the user from taking long-form snapshots even after disabling picture-in-picture temporarily."
,
