content,events refined
"Keeps logging me out of account saying session expired and everytime I try to log in it won't let me, keeps updating constantly even when I keep it up to date so not sure if the app is glitching, overall not a good app so may have to consider deleting Facebook as this has put me off and happens way too much, keep trying to update the app thinking it was that but its still not working and it says update again even after i already did","[It keeps logging me out, It is saying session expired, I try to log in, It won't let me log in][I keep trying to update the app, It still won't let me log in][I update app, It says update again]"
Facebook marketplace has a bug or a terrible feature where it will select a random picture as the main one (so the only one buyers see when searching and scrolling) keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object no wonder no one but scam bots message me now.,"[I search and scroll, It will select a random picture as the main one, It keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object]"
I don't know what has happened lately it will not let me log into my Facebook I keep logging in right password and all cuz it starts to log in but then it decides login has expired and kicks me right back out logs me out then it turns around and I log back in and it does the same thing over and over first I thought it might have needed updated so I got it updated and it's still continuing to do it I do not know what is going on with it but it needs fixed,"[I log in with the right password, The app starts to log in, It decides login has expired, It logs me out, It turns around, I log back in, The app does the same thing over and over, I got it updated, It is still continuing to do the same thing over and over]"
Can't login at all can't recover my account at all I've tried uninstalling 3 times and tried to get the password reset but never worked just said error oh yeah and made my screen go black one time trying to login and white another time and just froze for a second then kicked me out of the app this app sucks in conclusion and GET actual customer SUPPORT,"[I have tried uninstalling, I tried to get the password reset, It never worked and just said error][I was trying to login, It made my screen go black][I was trying to login, just froze for a second, kicked me out of the app]"
"When I try to share things that I like on my wall, Facebook's algorithm throws it in the irrelevant pile so no-one can see it and then there's the fact I can get my account restricted or giving my opinion on a clip of a MOVIE as to what one CHARACTER in that movie should do to another because it's labeled as ""violent""!!!","[I try to share things, it throws it in the irrelevant pile, no one can see it][I give my opinion on a clip of a movie as to what one character in that movie should do to another, It labels the clip as ""violent""]"
"This app is garbage, it logs y9u.out randomly and you have to spend a ton of time trying to log back in with two factor authentication and it 90% of the time does not work they need to fix that and that would make the app a little better","[The app logs you out randomly, I try to log back in with two factor authentication, It does not work 90% of the time]"
Suddenly after using FB an hr and a half ago it wouldnt allow me to log in so then it lets me log in and then it says there was an error so it shows me my page but it won't show anything else and then it gets rid of it cuz it goes right back out of it I cannot send any messages either on messenger but it shows me all my messages shows me people been on how long they haven't been on I even updated it now I deleted and I'm reinstalling this is ridiculous that it just worked and suddenly isn't smfh,"[ I used the app half an hour ago, It wouldnt allow me to log in now][It lets me log in, It says there was an error, it shows me my page and it won't show anything else, it gets rid of it, it goes right back out of it][It shows me all my messages and it shows me how long people been on and it shows me how long they haven't been on but I cannot send any messages on the app]"
"If I could give no stars to leave a rating I would, my facebook completely crashed and I have absolutely no access to it, I cannot log in at all, and when I try to log in it constantly says that session expired.","[The app completely crashed][I have absolutely no access to it][I cannot log in at all][I try to log in, it constantly says that session expired]"
They need to fix this app I have used it for so long and never had problems with it until the meta system which now it made me delete my account that I've had for 5 years won't let me log in or make a new account because apparently my session was over and apparently there's a error that won't let me log in or make a new account,"[It deleted my account that I have had for 5 years][I try to log in, It won't let me because my session was over][I try to log in or make a new account, It won't let me with an error]"
"My account got hacked from somewhere in Nigeria, they then linked my account to a two-factor authentication on their device, I've tried contact customer support but nothing, and since they persist with a lack of customer support and allowing with sending their users in circles over and over in a never ending loop of inability to get some assistance of any type, I'm going to sadly leave this app and all the hundreds of photos and videos I've posted/shared, it's a shame but good riddance!","[they persist with a lack of customer support, they allow with sending their users in circles over and over in a never ending loop of inability to get some assistance of any type] "
